 de ,1.0
ent ,0.6158864785516229
les ,0.5609199151851247
 la ,0.4973087587669222
ait ,0.48784863806883055
 les,0.48148752242701026
e de,0.4314141249388354
 et ,0.3932474310879139
"

",0.3847659435654869
 le ,0.3554069482955472
que ,0.34431577230468113
tion,0.3178926765617354
s de,0.31691404338607077
de l,0.31675093785679337
 des,0.3095742945685859
des ,0.29358995269939653
 que,0.2934268471701191
ient,0.27825803294731694
 con,0.2732017615397162
t de,0.2555863643777524
ans ,0.25526015331919755
ment,0.24775729897243517
 par,0.24041755015495025
aien,0.23846028380362094
 en ,0.2332409068667428
 qui,0.22573805251998041
